instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,month
64,2011-01-03,Springer,2011,1,18,0,Monday,1,Clear,0.24,0.2576,0.32,0.1045,9.0,148,157,January
65,2011-01-03,Springer,2011,1,19,0,Monday,1,Clear,0.2,0.2576,0.47,0.0,8.0,102,110,January
66,2011-01-03,Springer,2011,1,20,0,Monday,1,Clear,0.2,0.2273,0.47,0.1045,3.0,49,52,January
67,2011-01-03,Springer,2011,1,21,0,Monday,1,Clear,0.18,0.197,0.64,0.1343,3.0,49,52,January
68,2011-01-03,Springer,2011,1,22,0,Monday,1,Clear,0.14,0.1515,0.69,0.1343,0.0,20,20,January
69,2011-01-03,Springer,2011,1,23,0,Monday,1,Clear,0.18,0.2121,0.55,0.1045,1.0,11,12,January
70,2011-01-04,Springer,2011,1,0,0,Tuesday,1,Clear,0.16,0.1818,0.55,0.1045,0.0,5,5,January
71,2011-01-04,Springer,2011,1,1,0,Tuesday,1,Clear,0.16,0.1818,0.59,0.1045,0.0,2,2,January
72,2011-01-04,Springer,2011,1,2,0,Tuesday,1,Clear,0.14,0.1515,0.63,0.1343,0.0,1,1,January
73,2011-01-04,Springer,2011,1,4,0,Tuesday,1,Clear,0.14,0.1818,0.63,0.0896,0.0,2,2,January
74,2011-01-04,Springer,2011,1,5,0,Tuesday,1,Clear,0.12,0.1515,0.68,0.1045,0.0,4,4,January
75,2011-01-04,Springer,2011,1,6,0,Tuesday,1,Clear,0.12,0.1515,0.74,0.1045,0.0,36,36,January
76,2011-01-04,Springer,2011,1,7,0,Tuesday,1,Clear,0.12,0.1515,0.74,0.1343,2.0,92,94,January
77,2011-01-04,Springer,2011,1,8,0,Tuesday,1,Clear,0.14,0.1515,0.69,0.1642,2.0,177,179,January
78,2011-01-04,Springer,2011,1,9,0,Tuesday,1,Clear,0.16,0.1515,0.64,0.2239,2.0,98,100,January
79,2011-01-04,Springer,2011,1,10,0,Tuesday,1,Mist,0.16,0.1364,0.69,0.3284,5.0,37,42,January
80,2011-01-04,Springer,2011,1,11,0,Tuesday,1,Clear,0.22,0.2121,0.51,0.2985,7.0,50,57,January
81,2011-01-04,Springer,2011,1,12,0,Tuesday,1,Clear,0.22,0.2273,0.51,0.1642,12.0,66,78,January
82,2011-01-04,Springer,2011,1,13,0,Tuesday,1,Clear,0.24,0.2273,0.56,0.194,18.0,79,97,January
83,2011-01-04,Springer,2011,1,14,0,Tuesday,1,Clear,0.26,0.2576,0.52,0.2239,9.0,54,63,January
84,2011-01-04,Springer,2011,1,15,0,Tuesday,1,Clear,0.28,0.2727,0.52,0.2537,17.0,48,65,January
85,2011-01-04,Springer,2011,1,16,0,Tuesday,1,Clear,0.3,0.2879,0.49,0.2537,15.0,68,83,January
86,2011-01-04,Springer,2011,1,17,0,Tuesday,1,Clear,0.28,0.2727,0.48,0.2239,10.0,202,212,January
87,2011-01-04,Springer,2011,1,18,0,Tuesday,1,Clear,0.26,0.2576,0.48,0.194,3.0,179,182,January
88,2011-01-04,Springer,2011,1,19,0,Tuesday,1,Clear,0.24,0.2576,0.48,0.1045,2.0,110,112,January
89,2011-01-04,Springer,2011,1,20,0,Tuesday,1,Clear,0.24,0.2576,0.48,0.1045,1.0,53,54,January
90,2011-01-04,Springer,2011,1,21,0,Tuesday,1,Clear,0.22,0.2727,0.64,0.0,0.0,48,48,January
91,2011-01-04,Springer,2011,1,22,0,Tuesday,1,Clear,0.22,0.2576,0.64,0.0896,1.0,34,35,January
92,2011-01-04,Springer,2011,1,23,0,Tuesday,1,Clear,0.2,0.2273,0.69,0.0896,2.0,9,11,January
93,2011-01-05,Springer,2011,1,0,0,Wednesday,1,Clear,0.2,0.2576,0.64,0.0,0.0,6,6,January
94,2011-01-05,Springer,2011,1,1,0,Wednesday,1,Clear,0.16,0.197,0.74,0.0896,0.0,6,6,January
95,2011-01-05,Springer,2011,1,2,0,Wednesday,1,Clear,0.16,0.197,0.74,0.0896,0.0,2,2,January
96,2011-01-05,Springer,2011,1,4,0,Wednesday,1,Clear,0.24,0.2273,0.48,0.2239,0.0,2,2,January
97,2011-01-05,Springer,2011,1,5,0,Wednesday,1,Clear,0.22,0.2273,0.47,0.1642,0.0,3,3,January
98,2011-01-05,Springer,2011,1,6,0,Wednesday,1,Clear,0.2,0.197,0.47,0.2239,0.0,33,33,January
99,2011-01-05,Springer,2011,1,7,0,Wednesday,1,Clear,0.18,0.1818,0.43,0.194,1.0,87,88,January
100,2011-01-05,Springer,2011,1,8,0,Wednesday,1,Clear,0.2,0.1818,0.4,0.2985,3.0,192,195,January
101,2011-01-05,Springer,2011,1,9,0,Wednesday,1,Clear,0.22,0.197,0.37,0.3284,6.0,109,115,January
102,2011-01-05,Springer,2011,1,10,0,Wednesday,1,Clear,0.22,0.197,0.37,0.3284,4.0,53,57,January
103,2011-01-05,Springer,2011,1,11,0,Wednesday,1,Clear,0.26,0.2273,0.33,0.3284,12.0,34,46,January
104,2011-01-05,Springer,2011,1,12,0,Wednesday,1,Clear,0.26,0.2273,0.33,0.3284,5.0,74,79,January
105,2011-01-05,Springer,2011,1,13,0,Wednesday,1,Clear,0.28,0.2576,0.3,0.2985,6.0,65,71,January
106,2011-01-05,Springer,2011,1,14,0,Wednesday,1,Clear,0.3,0.2879,0.28,0.194,10.0,52,62,January
107,2011-01-05,Springer,2011,1,15,0,Wednesday,1,Clear,0.3,0.2879,0.28,0.194,7.0,55,62,January
108,2011-01-05,Springer,2011,1,16,0,Wednesday,1,Clear,0.3,0.3182,0.28,0.0896,4.0,85,89,January
109,2011-01-05,Springer,2011,1,17,0,Wednesday,1,Clear,0.24,0.2273,0.38,0.194,4.0,186,190,January
110,2011-01-05,Springer,2011,1,18,0,Wednesday,1,Clear,0.24,0.2424,0.38,0.1343,3.0,166,169,January
111,2011-01-05,Springer,2011,1,19,0,Wednesday,1,Clear,0.24,0.2576,0.38,0.1045,5.0,127,132,January
112,2011-01-05,Springer,2011,1,20,0,Wednesday,1,Clear,0.22,0.2273,0.47,0.1642,7.0,82,89,January
113,2011-01-05,Springer,2011,1,21,0,Wednesday,1,Clear,0.2,0.197,0.51,0.194,3.0,40,43,January
114,2011-01-05,Springer,2011,1,22,0,Wednesday,1,Clear,0.18,0.197,0.55,0.1343,1.0,41,42,January
115,2011-01-05,Springer,2011,1,23,0,Wednesday,1,Clear,0.2,0.2576,0.47,0.0,1.0,18,19,January
116,2011-01-06,Springer,2011,1,0,0,Thursday,1,Clear,0.18,0.2424,0.55,0.0,0.0,11,11,January
117,2011-01-06,Springer,2011,1,1,0,Thursday,1,Clear,0.16,0.2273,0.64,0.0,0.0,4,4,January
118,2011-01-06,Springer,2011,1,2,0,Thursday,1,Clear,0.16,0.2273,0.64,0.0,0.0,2,2,January
119,2011-01-06,Springer,2011,1,4,0,Thursday,1,Mist,0.16,0.197,0.64,0.0896,0.0,1,1,January
120,2011-01-06,Springer,2011,1,5,0,Thursday,1,Mist,0.14,0.1818,0.69,0.0896,0.0,4,4,January
121,2011-01-06,Springer,2011,1,6,0,Thursday,1,Mist,0.14,0.1667,0.63,0.1045,0.0,36,36,January
122,2011-01-06,Springer,2011,1,7,0,Thursday,1,Mist,0.16,0.2273,0.59,0.0,0.0,95,95,January
123,2011-01-06,Springer,2011,1,8,0,Thursday,1,Clear,0.16,0.2273,0.59,0.0,3.0,216,219,January
124,2011-01-06,Springer,2011,1,9,0,Thursday,1,Mist,0.18,0.2424,0.51,0.0,6.0,116,122,January
125,2011-01-06,Springer,2011,1,10,0,Thursday,1,Clear,0.2,0.2576,0.47,0.0,3.0,42,45,January
126,2011-01-06,Springer,2011,1,11,0,Thursday,1,Clear,0.22,0.2576,0.44,0.0896,2.0,57,59,January
127,2011-01-06,Springer,2011,1,12,0,Thursday,1,Clear,0.26,0.2879,0.35,0.0,6.0,78,84,January
128,2011-01-06,Springer,2011,1,13,0,Thursday,1,Clear,0.26,0.2727,0.35,0.1045,12.0,55,67,January
129,2011-01-06,Springer,2011,1,14,0,Thursday,1,Clear,0.28,0.2727,0.36,0.1642,11.0,59,70,January
130,2011-01-06,Springer,2011,1,15,0,Thursday,1,Clear,0.28,0.2727,0.36,0.0,8.0,54,62,January
131,2011-01-06,Springer,2011,1,16,0,Thursday,1,Clear,0.26,0.2576,0.38,0.1642,12.0,74,86,January
132,2011-01-06,Springer,2011,1,17,0,Thursday,1,Clear,0.22,0.2273,0.51,0.1642,9.0,163,172,January
133,2011-01-06,Springer,2011,1,18,0,Thursday,1,Clear,0.22,0.2273,0.51,0.1343,5.0,158,163,January
134,2011-01-06,Springer,2011,1,19,0,Thursday,1,Clear,0.22,0.2576,0.55,0.0896,3.0,109,112,January
135,2011-01-06,Springer,2011,1,20,0,Thursday,1,Clear,0.2,0.2121,0.51,0.1642,3.0,66,69,January
136,2011-01-06,Springer,2011,1,21,0,Thursday,1,Mist,0.22,0.2121,0.55,0.2239,0.0,48,48,January
137,2011-01-06,Springer,2011,1,22,0,Thursday,1,Mist,0.22,0.2121,0.51,0.2836,1.0,51,52,January
138,2011-01-06,Springer,2011,1,23,0,Thursday,1,Mist,0.2,0.197,0.59,0.194,4.0,19,23,January
139,2011-01-07,Springer,2011,1,0,0,Friday,1,Mist,0.2,0.197,0.64,0.194,4.0,13,17,January
140,2011-01-07,Springer,2011,1,1,0,Friday,1,Mist,0.2,0.197,0.69,0.2239,2.0,5,7,January
141,2011-01-07,Springer,2011,1,2,0,Friday,1,Mist,0.2,0.197,0.69,0.2239,0.0,1,1,January
142,2011-01-07,Springer,2011,1,4,0,Friday,1,Mist,0.2,0.2121,0.69,0.1343,0.0,1,1,January
143,2011-01-07,Springer,2011,1,5,0,Friday,1,Light Snow,0.22,0.2727,0.55,0.0,0.0,5,5,January
144,2011-01-07,Springer,2011,1,6,0,Friday,1,Mist,0.2,0.2576,0.69,0.0,8.0,26,34,January
145,2011-01-07,Springer,2011,1,7,0,Friday,1,Clear,0.2,0.2121,0.69,0.1343,8.0,76,84,January
146,2011-01-07,Springer,2011,1,8,0,Friday,1,Clear,0.2,0.197,0.51,0.2537,20.0,190,210,January
147,2011-01-07,Springer,2011,1,9,0,Friday,1,Clear,0.2,0.1818,0.47,0.2985,9.0,125,134,January
148,2011-01-07,Springer,2011,1,10,0,Friday,1,Clear,0.22,0.197,0.37,0.3284,16.0,47,63,January
149,2011-01-07,Springer,2011,1,11,0,Friday,1,Mist,0.2,0.197,0.4,0.2239,19.0,48,67,January
150,2011-01-07,Springer,2011,1,12,0,Friday,1,Mist,0.2,0.197,0.37,0.2537,9.0,50,59,January
151,2011-01-07,Springer,2011,1,13,0,Friday,1,Mist,0.2,0.1818,0.37,0.2836,9.0,64,73,January
152,2011-01-07,Springer,2011,1,14,0,Friday,1,Mist,0.2,0.197,0.4,0.2537,7.0,43,50,January
153,2011-01-07,Springer,2011,1,15,0,Friday,1,Mist,0.2,0.2121,0.37,0.1642,9.0,63,72,January
154,2011-01-07,Springer,2011,1,16,0,Friday,1,Mist,0.2,0.2121,0.37,0.1642,5.0,82,87,January
155,2011-01-07,Springer,2011,1,17,0,Friday,1,Mist,0.2,0.2576,0.37,0.0,9.0,178,187,January
156,2011-01-07,Springer,2011,1,18,0,Friday,1,Clear,0.2,0.2273,0.4,0.0896,7.0,116,123,January
157,2011-01-07,Springer,2011,1,19,0,Friday,1,Clear,0.16,0.197,0.55,0.0896,3.0,92,95,January
158,2011-01-07,Springer,2011,1,20,0,Friday,1,Clear,0.18,0.2121,0.47,0.1045,1.0,50,51,January
159,2011-01-07,Springer,2011,1,21,0,Friday,1,Clear,0.18,0.197,0.47,0.1343,0.0,39,39,January
160,2011-01-07,Springer,2011,1,22,0,Friday,1,Mist,0.18,0.197,0.43,0.1642,2.0,34,36,January
161,2011-01-07,Springer,2011,1,23,0,Friday,1,Mist,0.18,0.197,0.51,0.1642,1.0,14,15,January
162,2011-01-08,Springer,2011,1,0,0,Saturday,0,Mist,0.18,0.197,0.51,0.1642,1.0,24,25,January
163,2011-01-08,Springer,2011,1,1,0,Saturday,0,Mist,0.18,0.2121,0.55,0.0896,1.0,15,16,January
164,2011-01-08,Springer,2011,1,2,0,Saturday,0,Mist,0.18,0.2424,0.55,0.0,3.0,13,16,January
165,2011-01-08,Springer,2011,1,3,0,Saturday,0,Light Snow,0.18,0.197,0.55,0.1642,0.0,7,7,January
166,2011-01-08,Springer,2011,1,4,0,Saturday,0,Light Snow,0.18,0.197,0.55,0.1642,0.0,1,1,January
167,2011-01-08,Springer,2011,1,5,0,Saturday,0,Mist,0.16,0.1667,0.74,0.1642,0.0,5,5,January
168,2011-01-08,Springer,2011,1,6,0,Saturday,0,Mist,0.16,0.1667,0.74,0.1642,0.0,2,2,January
169,2011-01-08,Springer,2011,1,7,0,Saturday,0,Mist,0.16,0.1818,0.74,0.1045,1.0,8,9,January
170,2011-01-08,Springer,2011,1,8,0,Saturday,0,Light Snow,0.16,0.1818,0.93,0.1045,0.0,15,15,January
171,2011-01-08,Springer,2011,1,9,0,Saturday,0,Light Snow,0.16,0.1818,0.93,0.1045,0.0,20,20,January
172,2011-01-08,Springer,2011,1,10,0,Saturday,0,Mist,0.18,0.197,0.8,0.1642,5.0,56,61,January
173,2011-01-08,Springer,2011,1,11,0,Saturday,0,Mist,0.2,0.1818,0.69,0.3881,2.0,60,62,January
174,2011-01-08,Springer,2011,1,12,0,Saturday,0,Mist,0.2,0.1818,0.59,0.3582,8.0,90,98,January
175,2011-01-08,Springer,2011,1,13,0,Saturday,0,Clear,0.2,0.1818,0.44,0.3284,7.0,95,102,January
176,2011-01-08,Springer,2011,1,14,0,Saturday,0,Clear,0.2,0.1667,0.32,0.194,12.0,83,95,January
177,2011-01-08,Springer,2011,1,15,0,Saturday,0,Clear,0.2,0.1667,0.32,0.4478,5.0,69,74,January
178,2011-01-08,Springer,2011,1,16,0,Saturday,0,Clear,0.18,0.1364,0.29,0.4478,8.0,68,76,January
179,2011-01-08,Springer,2011,1,17,0,Saturday,0,Clear,0.16,0.1212,0.37,0.194,5.0,64,69,January
180,2011-01-08,Springer,2011,1,18,0,Saturday,0,Clear,0.14,0.1212,0.39,0.2985,3.0,52,55,January
181,2011-01-08,Springer,2011,1,19,0,Saturday,0,Clear,0.14,0.1212,0.36,0.2537,4.0,26,30,January
182,2011-01-08,Springer,2011,1,20,0,Saturday,0,Clear,0.12,0.1212,0.36,0.2537,0.0,28,28,January
183,2011-01-08,Springer,2011,1,21,0,Saturday,0,Clear,0.12,0.1061,0.39,0.3582,2.0,35,37,January
184,2011-01-08,Springer,2011,1,22,0,Saturday,0,Clear,0.12,0.1061,0.36,0.3881,1.0,33,34,January
185,2011-01-08,Springer,2011,1,23,0,Saturday,0,Clear,0.1,0.0606,0.39,0.4478,0.0,22,22,January
186,2011-01-09,Springer,2011,1,0,0,Sunday,0,Clear,0.1,0.0758,0.42,0.3881,1.0,24,25,January
187,2011-01-09,Springer,2011,1,1,0,Sunday,0,Clear,0.1,0.0606,0.42,0.4627,0.0,12,12,January
188,2011-01-09,Springer,2011,1,2,0,Sunday,0,Clear,0.1,0.0606,0.46,0.4627,0.0,11,11,January
189,2011-01-09,Springer,2011,1,3,0,Sunday,0,Clear,0.1,0.0758,0.46,0.4179,0.0,4,4,January
190,2011-01-09,Springer,2011,1,4,0,Sunday,0,Clear,0.08,0.0909,0.53,0.194,0.0,1,1,January
191,2011-01-09,Springer,2011,1,5,0,Sunday,0,Clear,0.08,0.0909,0.53,0.194,0.0,1,1,January
192,2011-01-09,Springer,2011,1,6,0,Sunday,0,Clear,0.1,0.0909,0.49,0.2836,0.0,1,1,January
193,2011-01-09,Springer,2011,1,7,0,Sunday,0,Clear,0.08,0.0909,0.53,0.194,1.0,5,6,January
194,2011-01-09,Springer,2011,1,8,0,Sunday,0,Clear,0.1,0.0909,0.49,0.2836,0.0,10,10,January
195,2011-01-09,Springer,2011,1,9,0,Sunday,0,Clear,0.12,0.0758,0.46,0.194,0.0,19,19,January
196,2011-01-09,Springer,2011,1,10,0,Sunday,0,Clear,0.14,0.1061,0.43,0.3881,0.0,49,49,January
197,2011-01-09,Springer,2011,1,11,0,Sunday,0,Clear,0.16,0.1212,0.4,0.194,2.0,47,49,January
198,2011-01-09,Springer,2011,1,12,0,Sunday,0,Clear,0.18,0.1364,0.37,0.4478,4.0,79,83,January
199,2011-01-09,Springer,2011,1,13,0,Sunday,0,Clear,0.2,0.1667,0.34,0.4478,6.0,69,75,January
200,2011-01-09,Springer,2011,1,14,0,Sunday,0,Clear,0.22,0.1818,0.32,0.4627,8.0,64,72,January
201,2011-01-09,Springer,2011,1,15,0,Sunday,0,Clear,0.22,0.197,0.35,0.3582,5.0,77,82,January
202,2011-01-09,Springer,2011,1,16,0,Sunday,0,Clear,0.2,0.1667,0.34,0.4478,13.0,79,92,January
203,2011-01-09,Springer,2011,1,17,0,Sunday,0,Clear,0.18,0.1515,0.37,0.3881,3.0,59,62,January
204,2011-01-09,Springer,2011,1,18,0,Sunday,0,Clear,0.16,0.1364,0.4,0.3284,4.0,44,48,January
205,2011-01-09,Springer,2011,1,19,0,Sunday,0,Clear,0.16,0.1364,0.43,0.3284,1.0,40,41,January
206,2011-01-09,Springer,2011,1,20,0,Sunday,0,Clear,0.14,0.1212,0.46,0.2537,0.0,38,38,January
207,2011-01-09,Springer,2011,1,21,0,Sunday,0,Clear,0.14,0.1061,0.46,0.4179,1.0,19,20,January
208,2011-01-09,Springer,2011,1,22,0,Sunday,0,Clear,0.14,0.1212,0.46,0.2985,5.0,10,15,January
209,2011-01-09,Springer,2011,1,23,0,Sunday,0,Clear,0.12,0.1364,0.5,0.194,0.0,6,6,January
210,2011-01-10,Springer,2011,1,0,0,Monday,1,Clear,0.12,0.1212,0.5,0.2836,2.0,3,5,January
211,2011-01-10,Springer,2011,1,1,0,Monday,1,Clear,0.12,0.1212,0.5,0.2836,1.0,0,1,January
212,2011-01-10,Springer,2011,1,2,0,Monday,1,Clear,0.12,0.1212,0.5,0.2239,0.0,3,3,January
213,2011-01-10,Springer,2011,1,3,0,Monday,1,Clear,0.12,0.1212,0.5,0.2239,0.0,1,1,January
214,2011-01-10,Springer,2011,1,4,0,Monday,1,Clear,0.1,0.1212,0.54,0.1343,1.0,2,3,January
215,2011-01-10,Springer,2011,1,5,0,Monday,1,Clear,0.1,0.1061,0.54,0.2537,0.0,3,3,January
216,2011-01-10,Springer,2011,1,6,0,Monday,1,Clear,0.12,0.1212,0.5,0.2836,0.0,31,31,January
217,2011-01-10,Springer,2011,1,7,0,Monday,1,Clear,0.12,0.1212,0.5,0.2239,2.0,75,77,January
218,2011-01-10,Springer,2011,1,8,0,Monday,1,Mist,0.12,0.1212,0.5,0.2836,4.0,184,188,January
219,2011-01-10,Springer,2011,1,9,0,Monday,1,Mist,0.14,0.1212,0.5,0.2537,2.0,92,94,January
220,2011-01-10,Springer,2011,1,10,0,Monday,1,Mist,0.14,0.1212,0.5,0.2985,0.0,31,31,January
221,2011-01-10,Springer,2011,1,11,0,Monday,1,Mist,0.16,0.1364,0.47,0.2836,2.0,28,30,January
222,2011-01-10,Springer,2011,1,12,0,Monday,1,Mist,0.2,0.1818,0.4,0.2836,5.0,47,52,January
223,2011-01-10,Springer,2011,1,13,0,Monday,1,Mist,0.2,0.1818,0.4,0.2836,4.0,50,54,January
224,2011-01-10,Springer,2011,1,14,0,Monday,1,Mist,0.2,0.197,0.4,0.2239,0.0,47,47,January
225,2011-01-10,Springer,2011,1,15,0,Monday,1,Mist,0.2,0.197,0.4,0.2239,2.0,43,45,January
226,2011-01-10,Springer,2011,1,16,0,Monday,1,Clear,0.2,0.2121,0.4,0.1343,4.0,70,74,January
227,2011-01-10,Springer,2011,1,17,0,Monday,1,Clear,0.2,0.2273,0.4,0.1045,4.0,174,178,January
228,2011-01-10,Springer,2011,1,18,0,Monday,1,Clear,0.2,0.197,0.4,0.2239,1.0,154,155,January
